uid,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,volume,openInterest,impliedVolatility,optType,myDateTime,expiration,ticker,currentPriceDay,stockVolumeDay,timeUntilExpiration,pctPriceDiff
AAPL201218C00109000-12_17_20-17:45,AAPL201218C00109000,2020-12-17 16:02:04,109.0,20.0,19.35,19.5,5.45,3.0,111.0,1.0546922,c,12_17_20-17:45,2020-12-18,AAPL,122.6900024,121185.0,0.001855,-0.1115821
AAPL201218C00110000-12_17_20-17:45,AAPL201218C00110000,2020-12-17 17:22:01,110.0,18.35,18.35,18.5,4.75,714.0,17847.0,1.0039112,c,12_17_20-17:45,2020-12-18,AAPL,122.6900024,121185.0,0.001855,-0.1034314
AAPL201218C00111000-12_17_20-17:45,AAPL201218C00111000,2020-12-16 14:40:25,111.0,15.81,17.35,17.5,3.0600004,2.0,143.0,0.9531255,c,12_17_20-17:45,2020-12-18,AAPL,122.6900024,121185.0,0.001855,-0.0952808
AAPL201218C00112000-12_17_20-17:45,AAPL201218C00112000,2020-12-17 16:26:11,112.0,16.78,16.35,16.5,5.1000004,9.0,307.0,0.9023447,c,12_17_20-17:45,2020-12-18,AAPL,122.6900024,121185.0,0.001855,-0.0871302
AAPL201218C00112500-12_17_20-17:45,AAPL201218C00112500,2020-12-17 17:28:48,112.5,16.0,15.85,16.0,5.0,342.0,40240.0,0.8789075,c,12_17_20-17:45,2020-12-18,AAPL,122.6900024,121185.0,0.001855,-0.0830549
AAPL201218C00113000-12_17_20-17:45,AAPL201218C00113000,2020-12-17 17:23:44,113.0,15.47,15.35,15.5,5.0700006,5.0,694.0,0.851564,c,12_17_20-17:45,2020-12-18,AAPL,122.6900024,121185.0,0.001855,-0.0789796
AAPL201218C00114000-12_17_20-17:45,AAPL201218C00114000,2020-12-17 16:52:26,114.0,14.25,14.35,14.5,4.83,6.0,3005.0,0.8046895,c,12_17_20-17:45,2020-12-18,AAPL,122.6900024,121185.0,0.001855,-0.0708289
AAPL201218C00115000-12_17_20-17:45,AAPL201218C00115000,2020-12-17 17:23:28,115.0,13.49,13.35,13.5,4.71,382.0,72196.0,0.7539087,c,12_17_20-17:45,2020-12-18,AAPL,122.6900024,121185.0,0.001855,-0.0626783
AAPL201218C00116000-12_17_20-17:45,AAPL201218C00116000,2020-12-17 16:47:14,116.0,12.62,12.4,12.5,4.72,91.0,3470.0,0.5468795,c,12_17_20-17:45,2020-12-18,AAPL,122.6900024,121185.0,0.001855,-0.0545277
AAPL201218C00117000-12_17_20-17:45,AAPL201218C00117000,2020-12-17 17:20:42,117.0,11.39,11.4,11.5,4.7900004,213.0,3139.0,0.5078174,c,12_17_20-17:45,2020-12-18,AAPL,122.6900024,121185.0,0.001855,-0.0463771
AAPL201218C00117500-12_17_20-17:45,AAPL201218C00117500,2020-12-17 17:26:34,117.5,10.95,10.9,11.0,4.54,211.0,37060.0,0.6250038,c,12_17_20-17:45,2020-12-18,AAPL,122.6900024,121185.0,0.001855,-0.0423018
AAPL201218C00118000-12_17_20-17:45,AAPL201218C00118000,2020-12-17 17:23:44,118.0,10.48,10.4,10.5,4.5199995,82.0,6734.0,0.6015665,c,12_17_20-17:45,2020-12-18,AAPL,122.6900024,121185.0,0.001855,-0.0382264
AAPL201218C00119000-12_17_20-17:45,AAPL201218C00119000,2020-12-17 17:12:48,119.0,9.41,9.4,9.5,4.31,146.0,2168.0,0.5507857,c,12_17_20-17:45,2020-12-18,AAPL,122.6900024,121185.0,0.001855,-0.0300758
AAPL201218C00120000-12_17_20-17:45,AAPL201218C00120000,2020-12-17 17:28:32,120.0,8.5,8.4,8.5,4.15,2540.0,51775.0,0.500005,c,12_17_20-17:45,2020-12-18,AAPL,122.6900024,121185.0,0.001855,-0.0219252
