uid,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,volume,openInterest,impliedVolatility,optType,myDateTime,expiration,ticker,currentPriceDay,stockVolumeDay,timeUntilExpiration,pctPriceDiff
AAPL201218C00109000-12_17_20-20:00,AAPL201218C00109000,2020-12-17 18:36:03,109.0,19.46,19.25,19.4,4.909999,7.0,111.0,1e-05,c,12_17_20-20:00,2020-12-18,AAPL,122.2300034,113133.0,0.001598,-0.1082386
AAPL201218C00110000-12_17_20-20:00,AAPL201218C00110000,2020-12-17 19:40:14,110.0,18.29,18.25,18.35,4.6900005,865.0,17847.0,1e-05,c,12_17_20-20:00,2020-12-18,AAPL,122.2300034,113133.0,0.001598,-0.1000573
AAPL201218C00111000-12_17_20-20:00,AAPL201218C00111000,2020-12-17 17:40:35,111.0,17.35,17.25,17.4,4.6000004,1.0,143.0,1e-05,c,12_17_20-20:00,2020-12-18,AAPL,122.2300034,113133.0,0.001598,-0.091876
AAPL201218C00112000-12_17_20-20:00,AAPL201218C00112000,2020-12-17 19:28:27,112.0,16.29,16.25,16.4,4.6100006,109.0,307.0,1e-05,c,12_17_20-20:00,2020-12-18,AAPL,122.2300034,113133.0,0.001598,-0.0836947
AAPL201218C00112500-12_17_20-20:00,AAPL201218C00112500,2020-12-17 19:28:12,112.5,15.75,15.75,15.9,4.75,410.0,40240.0,1e-05,c,12_17_20-20:00,2020-12-18,AAPL,122.2300034,113133.0,0.001598,-0.0796041
AAPL201218C00113000-12_17_20-20:00,AAPL201218C00113000,2020-12-17 17:23:44,113.0,15.47,15.25,15.4,5.0700006,5.0,694.0,1e-05,c,12_17_20-20:00,2020-12-18,AAPL,122.2300034,113133.0,0.001598,-0.0755134
AAPL201218C00114000-12_17_20-20:00,AAPL201218C00114000,2020-12-17 19:27:22,114.0,14.31,14.25,14.4,4.8900003,13.0,3005.0,1e-05,c,12_17_20-20:00,2020-12-18,AAPL,122.2300034,113133.0,0.001598,-0.0673321
AAPL201218C00115000-12_17_20-20:00,AAPL201218C00115000,2020-12-17 19:43:41,115.0,13.29,13.25,13.4,4.51,924.0,72196.0,1e-05,c,12_17_20-20:00,2020-12-18,AAPL,122.2300034,113133.0,0.001598,-0.0591508
AAPL201218C00116000-12_17_20-20:00,AAPL201218C00116000,2020-12-17 19:12:52,116.0,12.5,12.25,12.4,4.6,191.0,3470.0,1e-05,c,12_17_20-20:00,2020-12-18,AAPL,122.2300034,113133.0,0.001598,-0.0509695
AAPL201218C00117000-12_17_20-20:00,AAPL201218C00117000,2020-12-17 19:36:19,117.0,11.2,11.25,11.4,4.6,254.0,3139.0,1e-05,c,12_17_20-20:00,2020-12-18,AAPL,122.2300034,113133.0,0.001598,-0.0427882
AAPL201218C00117500-12_17_20-20:00,AAPL201218C00117500,2020-12-17 19:43:54,117.5,10.8,10.75,10.9,4.3900003,692.0,37060.0,1e-05,c,12_17_20-20:00,2020-12-18,AAPL,122.2300034,113133.0,0.001598,-0.0386976
AAPL201218C00118000-12_17_20-20:00,AAPL201218C00118000,2020-12-17 19:38:50,118.0,10.25,10.25,10.4,4.29,166.0,6734.0,1e-05,c,12_17_20-20:00,2020-12-18,AAPL,122.2300034,113133.0,0.001598,-0.0346069
AAPL201218C00119000-12_17_20-20:00,AAPL201218C00119000,2020-12-17 19:25:53,119.0,9.4,9.25,9.4,4.2999997,153.0,2168.0,1e-05,c,12_17_20-20:00,2020-12-18,AAPL,122.2300034,113133.0,0.001598,-0.0264256
AAPL201218C00120000-12_17_20-20:00,AAPL201218C00120000,2020-12-17 19:43:28,120.0,8.32,8.25,8.4,3.9699998,8422.0,51775.0,1e-05,c,12_17_20-20:00,2020-12-18,AAPL,122.2300034,113133.0,0.001598,-0.0182443
